,size_sq_ft,propertyType,bedrooms,latitude,longitude,localityName,suburbName,cityName,price,companyName,closest_mtero_station_km,AP_dist_km,Aiims_dist_km,NDRLW_dist_km
114,1200,Apartment,3,28.59866905,77.29876709,mayur vihar phase 1,Delhi East,Delhi,23000,Rupak Properties Stock,0.6483465430816483,21.499794567012955,9.571405017639924,9.001586665713358
115,1000,Apartment,2,28.59931374,77.29899597,mayur vihar phase 1,Delhi East,Delhi,23000,Rupak Properties Stock,0.7179832517949416,21.53776555851475,9.61868906668964,8.982987354227996
116,1300,Apartment,3,28.59933281,77.29308319,mayur vihar phase 1,Delhi East,Delhi,35000,Rupak Properties Stock,0.5856868754442349,20.975524351453853,9.085632196585678,8.494342193143968
117,1000,Apartment,3,28.59946823,77.29264069,mayur vihar phase 1,Delhi East,Delhi,28000,Rupak Properties Stock,0.6116855845763559,20.936969155834014,9.051877439374078,8.449989029596358
118,1200,Apartment,2,28.59812737,77.29343414,mayur vihar phase 1,Delhi East,Delhi,30000,Rupak Properties Stock,0.4477660985117923,20.978099116392933,9.065305427414742,8.597322651567946
119,1000,Apartment,2,28.59805679,77.29380035,mayur vihar phase 1,Delhi East,Delhi,25000,Rupak Properties Stock,0.4331245430501805,21.01120583586137,9.095446688219011,8.631358620676409
120,1900,Villa,4,28.63539124,77.28744507,Preet Vihar,Delhi East,Delhi,40000,Aashiyana Real Estate,0.29502674129551004,21.748147890654167,10.8795691052006,6.563411822509915
121,1250,Independent Floor,2,28.64523315,77.29449463,Krishna Nagar,Delhi East,Delhi,27000,Shivam Real Estate,0.4222979476677133,22.834700511906053,12.138168772392273,7.225621778295318
122,1550,Independent Floor,2,28.64571571,77.28836823,Krishna Nagar,Delhi East,Delhi,25000,Shivam Real Estate,0.8127611904950357,22.321708735368134,11.767115307603518,6.630954583186001
123,750,Apartment,1,28.59762573,77.29660034,mayur vihar phase 1,Delhi East,Delhi,17000,Rupak Properties Stock,0.4322636117058308,21.26738934071551,9.33183595452433,8.885658389548649
124,1000,Apartment,2,28.59771538,77.29656219,mayur vihar phase 1,Delhi East,Delhi,25000,Rupak Properties Stock,0.4392926709049149,21.265957099155518,9.331994874748391,8.877079404611461
125,1400,Apartment,3,28.59872246,77.29833221,mayur vihar phase 1,Delhi East,Delhi,30000,Rupak Properties Stock,0.6265031123106571,21.459682095497612,9.534054236716354,8.962397060786454
126,1750,Independent Floor,3,28.64417648,77.28766632,Krishna Nagar,Delhi East,Delhi,29600,Shivam Real Estate,0.7286274851636959,22.18396739902563,11.594656119039874,6.553173340764007
127,1250,Independent Floor,1,28.64436722,77.2935257,Krishna Nagar,Delhi East,Delhi,25000,Shivam Real Estate,0.3583199547700046,22.707564148871995,12.00332012633154,7.126432769166271
128,1950,Independent Floor,3,28.642519,77.29434967,Swasthya Vihar,Delhi East,Delhi,40000,Aashiyana Real Estate,0.14012953340494644,22.691843663490282,11.914763302057715,7.201495351653263
129,1800,Independent Floor,3,28.63643837,77.29277039,Preet Vihar,Delhi East,Delhi,30000,Aashiyana Real Estate,0.3991344876513576,22.27098224684234,11.336964550497012,7.070803766493692
130,1850,Independent Floor,3,28.63638878,77.29278564,Preet Vihar,Delhi East,Delhi,40000,Aashiyana Real Estate,0.402483155019394,22.270120501048527,11.3343221434256,7.072746712664487
131,2350,Independent Floor,3,28.63534164,77.29321289,Preet Vihar,Delhi East,Delhi,40000,Aashiyana Real Estate,0.4922377593430676,22.261688188292236,11.286668298877785,7.124953299189483
132,1150,Independent Floor,1,28.64403152,77.29439545,Krishna Nagar,Delhi East,Delhi,25000,Shivam Real Estate,0.29357999191364953,22.767988509348,12.036434118661301,7.209979630334085
133,1600,Independent Floor,3,28.64149284,77.28599548,Swasthya Vihar,Delhi East,Delhi,33300,Shivam Real Estate,0.5098858716132982,21.906112353135267,11.265103384258534,6.384184373965534
134,1750,Independent Floor,2,28.64464951,77.29468536,Krishna Nagar,Delhi East,Delhi,35000,Shivam Real Estate,0.3556539211284264,22.823253854411963,12.105069125516868,7.2410540036244635
135,2450,Independent Floor,2,28.64246559,77.29020691,Swasthya Vihar,Delhi East,Delhi,43600,Shivam Real Estate,0.4951673238693161,22.323713870843182,11.6261327871298,6.796406082183378
136,1850,Independent Floor,2,28.64439583,77.29427338,Krishna Nagar,Delhi East,Delhi,32000,Shivam Real Estate,0.3356598288512442,22.774755774089986,12.05677033565522,7.199602416452371
137,1050,Apartment,2,28.59892273,77.2930603,mayur vihar phase 1,Delhi East,Delhi,26000,Rupak Properties Stock,0.5421983373330225,20.96276078760916,9.065680283349415,8.51770141023112
138,1050,Apartment,2,28.59943771,77.2987442,mayur vihar phase 1,Delhi East,Delhi,25000,Rupak Properties Stock,0.7075683805266905,21.51692287367945,9.601003872669104,8.954812283420859
139,1200,Apartment,3,28.59797096,77.29685974,mayur vihar phase 1,Delhi East,Delhi,30000,Rupak Properties Stock,0.4780103476215002,21.300640291197823,9.369461926029668,8.885923789378259
140,1100,Apartment,2,28.59723091,77.29692078,mayur vihar phase 1,Delhi East,Delhi,25000,Rupak Properties Stock,0.4115931844060185,21.28830445186553,9.345189040022145,8.935922869848852
141,1450,Apartment,3,28.59952736,77.29277039,mayur vihar phase 1,Delhi East,Delhi,50000,Rupak Properties Stock,0.614345557879967,20.950840733580264,9.066124837687743,8.456926802646475
142,800,Apartment,2,28.59952736,77.29277039,mayur vihar phase 1,Delhi East,Delhi,24500,Rupak Properties Stock,0.614345557879967,20.950840733580264,9.066124837687743,8.456926802646475
143,1450,Apartment,3,28.59952736,77.29277039,mayur vihar phase 1,Delhi East,Delhi,30000,Rupak Properties Stock,0.614345557879967,20.950840733580264,9.066124837687743,8.456926802646475
144,1050,Apartment,2,28.59892273,77.2930603,mayur vihar phase 1,Delhi East,Delhi,30000,Rupak Properties Stock,0.5421983373330225,20.96276078760916,9.065680283349415,8.51770141023112
145,2250,Independent Floor,3,28.64247131,77.28662109,Swasthya Vihar,Delhi East,Delhi,50000,Shivam Real Estate,0.5756306848746557,22.008661660143094,11.386280722460766,6.445847895272744
146,650,Independent Floor,1,28.64270401,77.2942276,Swasthya Vihar,Delhi East,Delhi,17000,Shivam Real Estate,0.1638188665769924,22.68982337240233,11.920728571220462,7.18984299775108
