,name,details.link,details.line,details.Layout,details.latitude,details.longitude
155,Paschim Vihar East,https://en.wikipedia.org/wiki/Paschim_Vihar_East_(Delhi_Metro),Green Line,Elevated,28.677294,77.112272
156,Paschim Vihar West,https://en.wikipedia.org/wiki/Paschim_Vihar_West_(Delhi_Metro),Green Line,Elevated,28.678589,77.102106
157,Patel Chowk,https://en.wikipedia.org/wiki/Patel_Chowk_(Delhi_Metro),Yellow Line,Underground,28.623235,77.211785
158,Patel Nagar,https://en.wikipedia.org/wiki/Patel_Nagar_(Delhi_Metro),Blue Line,Elevated,28.645049,77.169251
159,Peera Garhi,https://en.wikipedia.org/wiki/Peera_Garhi_(Delhi_Metro),Green Line,Elevated,28.679703,77.09255
160,Pitam Pura,https://en.wikipedia.org/wiki/Pitam_Pura_(Delhi_Metro),Red Line,Elevated,28.703151,77.132397
161,Pratap Nagar,https://en.wikipedia.org/wiki/Pratap_Nagar_(Delhi_Metro),Red Line,Elevated,28.666698,77.198841
162,Preet Vihar,https://en.wikipedia.org/wiki/Preet_Vihar_(Delhi_Metro),Blue Line branch,Elevated,28.641466,77.295143
163,Pul Bangash,https://en.wikipedia.org/wiki/Pul_Bangash_(Delhi_Metro),Red Line,Elevated,28.666251,77.206984
164,Punjabi Bagh,https://en.wikipedia.org/wiki/Punjabi_Bagh_(Delhi_Metro),Green Line,Elevated,28.672936,77.145972
165,Punjabi Bagh West,https://en.wikipedia.org/wiki/Punjabi_Bagh_West_(Delhi_Metro),Pink Line,Elevated,28.6730178,77.1373636
166,Qutab Minar,https://en.wikipedia.org/wiki/Qutab_Minar_(Delhi_Metro),Yellow Line,Elevated,28.5129,77.1864
167,R.K.Puram,https://en.wikipedia.org/wiki/R.K_Puram_metro_station,Magenta Line,Underground,28.5502447,77.1834533
168,Raja Nahar Singh,https://en.wikipedia.org/wiki/Raja_Nahar_Singh_metro_station,Violet Line,Elevated,28.3394733,77.3160523
169,Raj Bagh,https://en.wikipedia.org/wiki/Raj_Bagh_metro_station,Red Line,Elevated,28.677031,77.346578
170,Rajdhani Park,https://en.wikipedia.org/wiki/Rajdhani_Park_(Delhi_Metro),Green Line,Elevated,28.6822,77.043844
171,Rajendra Place,https://en.wikipedia.org/wiki/Rajendra_Place_(Delhi_Metro),Blue Line,Elevated,28.642241,77.178263
172,Rajiv Chowk,https://en.wikipedia.org/wiki/Rajiv_Chowk_(Delhi_Metro),Yellow Line,Underground,28.632846,77.219639
173,Rajouri Garden,https://en.wikipedia.org/wiki/Rajouri_Garden_(Delhi_Metro),Blue Line,Elevated,28.649004,77.122634
174,Ramakrishna Ashram Marg,https://en.wikipedia.org/wiki/Ramakrishna_Ashram_Marg_(Delhi_Metro),Blue Line,Elevated,28.639268,77.208502
175,Ramesh Nagar,https://en.wikipedia.org/wiki/Ramesh_Nagar_(Delhi_Metro),Blue Line,Elevated,28.652972,77.131507
176,Rithala,https://en.wikipedia.org/wiki/Rithala_(Delhi_Metro),Red Line,Elevated,28.720879,77.107029
177,Rohini East,https://en.wikipedia.org/wiki/Rohini_East_(Delhi_Metro),Red Line,Elevated,28.707659,77.125901
178,Rohini Sector 18,"https://en.wikipedia.org/wiki/Rohini_Sector_18,_19_metro_station",Yellow Line,Elevated,28.7383223,77.1387801
179,Rohini West,https://en.wikipedia.org/wiki/Rohini_West_(Delhi_Metro),Red Line,Elevated,28.71498,77.115387
180,Sadar Bazaar Cantonment,https://en.wikipedia.org/wiki/Sadar_Bazaar_Cantonment_metro_station,Magenta Line,Elevated,28.577082,77.1101193
